nombre,provincia,bloque,email
"Goerling Lara, Enrique Martín",Misiones,FRENTE PRO,martin.goerling@senado.gob.ar
"González, María Teresa Margarita",Formosa,JUSTICIALISTA,maria.gonzalez@senado.gob.ar
"Guzmán Coraita, Gonzalo",Salta,LA LIBERTAD AVANZA,gonzalo.guzman@senado.gob.ar
"Huala, María Victoria",La Pampa,FRENTE PRO,victoria.huala@senado.gob.ar
"Juez, Luis Alfredo",Córdoba,LA LIBERTAD AVANZA,luis.juez@senado.gob.ar
"Juri, Mariana",Mendoza,UCR - UNIÓN CÍVICA RADICAL,mariana.juri@senado.gob.ar
"Kirchner, Alicia Margarita Antonia",Santa Cruz,JUSTICIALISTA,alicia.kirchner@senado.gob.ar
"Kroneberger, Daniel Ricardo",La Pampa,UCR - UNIÓN CÍVICA RADICAL,daniel.kroneberger@senado.gob.ar
"Lewandowski, Marcelo Néstor",Santa Fe,JUSTICIALISTA,marcelo.lewandowski@senado.gob.ar
"Linares, Carlos Alberto",Chubut,JUSTICIALISTA,carlos.linares@senado.gob.ar
"Losada, Carolina",Santa Fe,UCR - UNIÓN CÍVICA RADICAL,carolina.losada@senado.gob.ar
"López, Cándida Cristina","Tierra Del Fuego, Antártida E Islas Del Atlántico Sur",JUSTICIALISTA,cristina.lopez@senado.gob.ar
"López, María Florencia",La Rioja,JUSTICIALISTA,florencia.lopez@senado.gob.ar
"Manzur, Juan Luis",Tucumán,JUSTICIALISTA,juan.manzur@senado.gob.ar
"Marks, Ana Inés",Río Negro,JUSTICIALISTA,ana.marks@senado.gob.ar
"Mayans, José Miguel Ángel",Formosa,JUSTICIALISTA,mayans@senado.gob.ar
"Mendoza, Sandra Mariela",Tucumán,CONVICCIÓN FEDERAL,sandra.mendoza@senado.gob.ar
"Moises, María Carolina",Jujuy,CONVICCIÓN FEDERAL,maria.moises@senado.gob.ar
"Monte De Oca, María Belén","Tierra Del Fuego, Antártida E Islas Del Atlántico Sur",LA LIBERTAD AVANZA,belen.montedeoca@senado.gob.ar
"Monteverde, Agustín Aníbal",Ciudad Autónoma De Buenos Aires,LA LIBERTAD AVANZA,agustin.monteverde@senado.gob.ar
"Moreno, Elia Esther Del Carmen",Santiago Del Estero,FRENTE CÍVICO POR SANTIAGO,elia.moreno@senado.gob.ar
"Márquez, Nadia Judith",Neuquén,LA LIBERTAD AVANZA,nadia.marquez@senado.gob.ar
"Neder, José Emilio",Santiago Del Estero,JUSTICIALISTA,jose.neder@senado.gob.ar
"Olivera Lucero, Bruno Antonio",San Juan,LA LIBERTAD AVANZA,bruno.olivera@senado.gob.ar
"Orozco, María Emilia",Salta,LA LIBERTAD AVANZA,maria.orozco@senado.gob.ar
"Pagotto, Juan Carlos",La Rioja,LA LIBERTAD AVANZA,juan.pagotto@senado.gob.ar
"Paoltroni, Francisco Manuel",Formosa,LA LIBERTAD AVANZA,francisco.paoltroni@senado.gob.ar
"Recalde, Mariano",Ciudad Autónoma De Buenos Aires,JUSTICIALISTA,mariano.recalde@senado.gob.ar
"Rejal, Jesús Fernando",La Rioja,JUSTICIA SOCIAL FEDERAL,jesus.rejal@senado.gob.ar
"Rojas Decut, Sonia Elizabeth",Misiones,ENCUENTRO MISIONERO,sonia.rojas@senado.gob.ar
"Royon, Flavia Gabriela",Salta,PRIMERO LOS SALTEÑOS,flavia.royon@senado.gob.ar
"Salino, Fernando Aldo",San Luis,JUSTICIA SOCIAL FEDERAL,fernando.salino@senado.gob.ar
"Schneider, Silvana Lorena",Chaco,UCR - UNIÓN CÍVICA RADICAL,silvana.schneider@senado.gob.ar
"Soria, Martin Ignacio",Río Negro,JUSTICIALISTA,martin.soria@senado.gob.ar
"Suárez, Rodolfo Alejandro",Mendoza,UCR - UNIÓN CÍVICA RADICAL,rodolfo.suarez@senado.gob.ar
"Terenzi, Edith Elizabeth",Chubut,DESPIERTA CHUBUT,edith.terenzi@senado.gob.ar
"Uñac, Sergio Mauricio",San Juan,JUSTICIALISTA,sergio.unac@senado.gob.ar
"Valenzuela, Mercedes Gabriela",Corrientes,UCR - UNIÓN CÍVICA RADICAL,mercedes.valenzuela@senado.gob.ar
"Vigo, Alejandra María",Córdoba,PROVINCIAS UNIDAS,alejandra.vigo@senado.gob.ar
"Vischi, Eduardo Alejandro",Corrientes,UCR - UNIÓN CÍVICA RADICAL,eduardo.vischi@senado.gob.ar
"Zamora, Gerardo",Santiago Del Estero,FRENTE CÍVICO POR SANTIAGO,gerardo.zamora@senado.gob.ar
